name,description,language,stars,forks,watchers,open_issues,size_kb,default_branch,visibility,archived,fork,created_at,updated_at,pushed_at,html_url
Fluendo_recruitment,Collection of tests for our rectruitment process,Unknown,0,0,0,0,22457,master,public,False,True,2025-05-06 11:36:49+00:00,2025-05-06 11:36:49+00:00,2025-05-05 12:15:08+00:00,https://github.com/2Maikel3/Fluendo_recruitment
github-user-analyzer,Collects a github user stats and generates some dashboards,Python,0,0,0,0,4,main,public,False,False,2026-08-05 15:00:25+00:00,2026-08-05 16:21:07+00:00,2026-08-05 16:19:51+00:00,https://github.com/2Maikel3/github-user-analyzer
